,agerank2,Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes.,tuber,tuber2,tuber3,root,wgt_avg,obs,rel_biomass2
83,2,Wac 735,Wac 735,and,2,High,Sterile,4,180,,NA,0,0,22.72,15.10774194,31,0
84,2,Wac 735,Wac 735,and,2,High,Sterile,2,265,,NA,0,0,8.28,15.10774194,31,0
85,2,Wac 735,Wac 735,and,2,High,Virgin,1,155,,NA,0,0,15.56,15.10774194,31,0
86,2,Wac 735,Wac 735,and,2,High,Virgin,2,171,,NA,0,0,13.25,15.10774194,31,0
87,2,Huagalina,Huagalina,and,2,Low,Sterile,4,338,,31.48,31.48,31.48,8.26,15.10774194,31,2.083699876
88,2,WAC 5,WAC 5,and,2,Low,Hancock,4,50,,15.53,15.53,15.53,4.55,15.10774194,31,1.02794978
89,2,Wac 735,Wac 735,and,2,Low,Virgin,1,3,,2.71,2.71,2.71,0.48,15.10774194,31,0.179378229
90,2,Wac 735,Wac 735,and,2,High,Virgin,4,276,,0.22,0.22,0.22,6.46,15.10774194,31,0.01456207
91,2,EBS 1797,EBS 1797,and,2,Low,Virgin,4,285,,32.9,32.9,32.9,2.77,15.10774194,31,2.177691421
92,2,Huagalina,Huagalina,and,2,Low,Virgin,4,135,,0.93,0.93,0.93,11.09,15.10774194,31,0.061557843
93,2,EBS 1797,EBS 1797,and,2,High,Sterile,1,193,,1.21,1.21,1.21,9.14,15.10774194,31,0.080091387
94,2,EBS 1797,EBS 1797,and,2,High,Virgin,1,189,,17.48,17.48,17.48,13.95,15.10774194,31,1.157022676
95,2,WAC 663,WAC 663,and,2,Low,Sterile,3,374,,NA,0,1.62,0.67,15.10774194,31,0.10722979
96,2,WAC 5,WAC 5,and,2,High,Hancock,4,342,,1.72,1.72,1.72,2.91,15.10774194,31,0.113848913
97,2,EBS 1797,EBS 1797,and,2,High,Virgin,4,306,,1.77,1.77,1.77,18.85,15.10774194,31,0.117158475
98,2,EBS 1797,EBS 1797,and,2,Low,Sterile,3,304,,36.78,36.78,36.78,18.26,15.10774194,31,2.434513388
99,2,WAC 663,WAC 663,and,2,Low,Sterile,4,99,,25.13,25.13,25.13,1.2,15.10774194,31,1.663385575
100,2,EBS 1797,EBS 1797,and,2,Low,Sterile,2,337,,38.3,38.3,38.3,2.89,15.10774194,31,2.535124055
101,2,EBS 1797,EBS 1797,and,2,Low,Sterile,4,227,Flowering,38.33,38.33,38.33,9.75,15.10774194,31,2.537109792
102,2,EBS 1797,EBS 1797,and,2,Low,Virgin,1,218,,25.91,25.91,25.91,4.1,15.10774194,31,1.715014733
103,2,WAC 5,WAC 5,and,2,High,Virgin,4,293,,3.26,3.26,3.26,6,15.10774194,31,0.215783405
104,2,Huagalina,Huagalina,and,2,High,Virgin,4,268,,4.12,4.12,4.12,18.33,15.10774194,31,0.272707862
105,2,WAC 5,WAC 5,and,2,Low,Virgin,2,324,,21.83,21.83,21.83,3.55,15.10774194,31,1.44495452
106,2,Wac 735,Wac 735,and,2,Low,Hancock,4,25,,6.61,6.61,6.61,2.88,15.10774194,31,0.437524021
107,2,EBS 1797,EBS 1797,and,2,High,Hancock,2,232,,40.21,40.21,40.21,23.52,15.10774194,31,2.661549302
108,2,WAC 663,WAC 663,and,2,High,Hancock,4,194,,7.26,7.26,7.26,11.8,15.10774194,31,0.48054832
109,2,Wac 735,Wac 735,and,2,High,Sterile,3,334,,23.22,23.22,23.22,4.39,15.10774194,31,1.536960328
110,2,WAC 5,WAC 5,and,2,Low,Hancock,3,89,,8.62,8.62,8.62,8.61,15.10774194,31,0.57056839
111,2,WAC 663,WAC 663,and,2,Low,Sterile,1,9,,8.83,8.83,8.83,0.62,15.10774194,31,0.584468548
112,2,Huagalina,Huagalina,and,2,Low,Hancock,2,109,,41.43,41.43,41.43,5.73,15.10774194,31,2.742302601
113,2,Wac 735,Wac 735,and,2,High,Virgin,3,7,,NA,0,10,7.02,15.10774194,31,0.661912286
114,2,WAC 663,WAC 663,and,2,Low,Virgin,4,178,,10.44,10.44,10.44,0.34,15.10774194,31,0.691036427
115,2,EBS 1797,EBS 1797,and,2,Low,Hancock,2,361,,31.78,31.78,31.78,2.35,15.10774194,31,2.103557245
116,2,WAC 5,WAC 5,and,2,Low,Virgin,1,6,,10.71,10.71,10.71,1.27,15.10774194,31,0.708908058
117,2,Wac 735,Wac 735,and,2,Low,Virgin,3,67,,11,11,11,1.7,15.10774194,31,0.728103515
118,2,Huagalina,Huagalina,and,2,Low,Sterile,1,397,,57.67,57.67,57.67,6.57,15.10774194,31,3.817248153
119,2,EBS 1797,EBS 1797,and,2,Low,Virgin,3,49,,11.63,11.63,11.63,3.03,15.10774194,31,0.769803989
120,2,EBS 1797,EBS 1797,and,2,Low,Sterile,1,44,,11.66,11.66,11.66,6.56,15.10774194,31,0.771789725
121,2,Wac 735,Wac 735,and,2,Low,Hancock,1,349,,NA,0,46.42,1.85,15.10774194,31,3.072596831
122,2,EBS 1797,EBS 1797,and,2,Low,Hancock,1,53,Flowering,12.3,12.3,12.3,1.4,15.10774194,31,0.814152112
123,2,WAC 5,WAC 5,and,2,Low,Hancock,2,382,,30.44,30.44,30.44,4.97,15.10774194,31,2.014860998
124,2,Wac 735,Wac 735,and,2,Low,Virgin,4,312,,47.45,47.45,47.45,8.83,15.10774194,31,3.140773797
125,2,EBS 1797,EBS 1797,and,2,High,Virgin,3,269,,123.55,123.55,123.55,19.14,15.10774194,31,8.177926293
126,2,WAC 663,WAC 663,and,2,Low,Sterile,2,70,Yellow,15.07,15.07,15.07,1.12,15.10774194,31,0.997501815
127,2,Wac 735,Wac 735,and,2,Low,Hancock,2,352,,NA,0,88.63,1.73,15.10774194,31,5.86652859
128,2,Wac 735,Wac 735,and,2,Low,Sterile,3,48,,25.43,25.43,25.43,5.68,15.10774194,31,1.683242943
129,2,WAC 663,WAC 663,and,2,Low,Virgin,1,295,,21.09,21.09,21.09,2.1,15.10774194,31,1.395973011
130,2,WAC 663,WAC 663,and,2,Low,Virgin,3,176,Yellow,21.52,21.52,21.52,1.5,15.10774194,31,1.424435239
131,2,WAC 5,WAC 5,and,2,Low,Virgin,3,281,,63.57,63.57,63.57,4.91,15.10774194,31,4.207776402
132,2,Huagalina,Huagalina,and,2,High,Sterile,3,396,,16.84,16.84,16.84,9.25,15.10774194,31,1.11466029
133,2,Huagalina,Huagalina,and,2,Low,Virgin,1,156,,17.11,17.11,17.11,9.56,15.10774194,31,1.132531921
134,2,EBS 1797,EBS 1797,and,2,Low,Hancock,4,391,,35.87,35.87,35.87,2.72,15.10774194,31,2.37427937
135,2,EBS 1797,EBS 1797,and,2,High,Hancock,3,274,,18.3,18.3,18.3,10.1,15.10774194,31,1.211299483
136,2,WAC 5,WAC 5,and,2,Low,Virgin,4,215,,60.42,60.42,60.42,7.4,15.10774194,31,3.999274032
137,2,Wac 735,Wac 735,and,2,Low,Sterile,4,98,,18.45,18.45,18.45,4.46,15.10774194,31,1.221228168
