Variety,variety2,Clade,agerank,agerank2,Nutrient,soil,rep,id,Notes:,tuber,tuber2,tuber3,root
Snowden,Snowden,elite,6,5,High,Hancock,2,384,,55.14,55.14,55.14,6.82
Norkodah,Norkodah,elite,6,5,Low,Sterile,3,228,,55.9,55.9,55.9,0.47
Norkodah,Norkodah,elite,6,5,Low,Sterile,2,108,,56.59,56.59,56.59,0.23
Snowden,Snowden,elite,6,5,Low,Virgin,3,208,,,0,56.67,0.35
Huagalina,Huagalina,and,2,2,Low,Sterile,1,397,,57.67,57.67,57.67,6.57
HAO 76-22,HAO 76,bert,1,1,High,Virgin,2,205,,58.77,58.77,58.77,13.04
Cor C.95-17,Cor C95,chil,3,3,Low,Virgin,1,264,,59.35,59.35,59.35,1.89
Cor C.95-19,Cor C95,chil,3,3,Low,Virgin,3,124,,59.62,59.62,59.62,2.35
Cor C.56-10,Cor C56,chil,3,3,Low,Hancock,2,191,,59.84,59.84,59.84,1.53
Snowden,Snowden,elite,6,5,Low,Sterile,1,226,,,0,60.15,0.51
WAC 5,WAC 5,and,2,2,Low,Virgin,4,215,,60.42,60.42,60.42,7.4
Burbank,Burbank,elite,5,5,Low,Sterile,4,403,,,0,60.64,0.27
Ranger,Ranger,elite,6,5,Low,Sterile,2,302,,,0,60.85,0.76
Snowden,Snowden,elite,6,5,Low,Hancock,1,165,,,0,60.92,2.31
Burbank,Burbank,elite,5,5,Low,Virgin,1,140,,60.94,60.94,60.94,1.6
Ranger,Ranger,elite,6,5,Low,Hancock,4,96,,62.21,62.21,62.21,0.55
Norkodah,Norkodah,elite,6,5,Low,Virgin,1,254,,62.93,62.93,62.93,
WAC 5,WAC 5,and,2,2,Low,Virgin,3,281,,63.57,63.57,63.57,4.91
Norkodah,Norkodah,elite,6,5,Low,Hancock,4,345,,63.84,63.84,63.84,0.35
Snowden,Snowden,elite,6,5,Low,Sterile,3,137,,,0,64.75,1.91
Burbank,Burbank,elite,5,5,Low,Sterile,2,261,,66.5,66.5,66.5,0.49
HAO 76-7,HAO 76,bert,1,1,High,Sterile,3,207,,66.58,66.58,66.58,12.92
P. Cacho-9,P. Cacho,chil,3,3,Low,Hancock,1,82,,66.62,66.62,66.62,1.25
P. Cacho-7,P. Cacho,chil,3,3,High,Sterile,3,277,,67.45,67.45,67.45,11.12
Snowden,Snowden,elite,6,5,Low,Hancock,2,236,,67.47,67.47,67.47,0.66
Snowden,Snowden,elite,6,5,High,Virgin,1,73,,67.48,67.48,67.48,8.08
HAO 76-1,HAO 76,bert,1,1,Low,Sterile,1,322,,68.72,68.72,68.72,3.43
Cor C.56-2,Cor C56,chil,3,3,Low,Sterile,2,378,,68.78,68.78,68.78,2.96
Ranger,Ranger,elite,6,5,Low,Virgin,4,195,,68.95,68.95,68.95,0.66
HAO 76-9,HAO 76,bert,1,1,Low,Hancock,1,385,,69.6,69.6,69.6,3.41
Ranger,Ranger,elite,6,5,Low,Sterile,3,133,,70.37,70.37,70.37,2.11
Garnet-19,Garnet,chil,4,4,Low,Virgin,3,115,,70.45,70.45,70.45,1.16
Norkodah,Norkodah,elite,6,5,Low,Hancock,2,358,,70.77,70.77,70.77,0.24
HAO 76-8,HAO 76,bert,1,1,High,Sterile,4,192,,71.99,71.99,71.99,12.43
Cor C. 135-7,Cor C 135,chil,3,3,High,Sterile,3,255,,71.99,71.99,71.99,2.06
Cor C.56-19,Cor C56,chil,3,3,Low,Virgin,3,315,,72.15,72.15,72.15,4.31
Wac 735,Wac 735,and,2,2,Low,Hancock,3,332,,72.66,72.66,72.66,5.48
Garnet-18,Garnet,chil,4,4,Low,Virgin,2,105,,73.13,73.13,73.13,1.3
Cor C.56-5,Cor C56,chil,3,3,High,Sterile,1,196,,74.15,74.15,74.15,7.91
Garnet-17,Garnet,chil,4,4,Low,Virgin,1,20,,75.02,75.02,75.02,1.2
Snowden,Snowden,elite,6,5,Low,Sterile,2,237,,76.16,76.16,76.16,1.37
