Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root,dry_tuber
WAC 5,WAC 5,and,2,2,3,Low,Virgin,3,281,4,,63.57,63.57,63.57,4.91,25.50726589
WAC 5,WAC 5,and,2,2,3,High,Virgin,4,293,4,,3.26,3.26,3.26,6,1.308064917
WAC 5,WAC 5,and,2,2,3,High,Hancock,4,342,5,,1.72,1.72,1.72,2.91,0.69014468
WAC 5,WAC 5,and,2,2,3,Low,Hancock,2,382,5,,30.44,30.44,30.44,4.97,12.21395585
WAC 5,WAC 5,and,2,2,3,Low,Virgin,4,215,3,,60.42,60.42,60.42,7.4,14.96
WAC 5,WAC 5,and,2,2,3,Low,Virgin,2,324,4,,21.83,21.83,21.83,3.55,7.47
WAC 5,WAC 5,and,2,2,3,Low,Sterile,2,210,3,,23.05,23.05,23.05,9.11,11.4
WAC 5,WAC 5,and,2,2,3,Low,Sterile,4,161,2,,22.55,22.55,22.55,1.25,11.74
WAC 5,WAC 5,and,2,2,3,Low,Hancock,3,89,1,,8.62,8.62,8.62,8.61,3.454735871
WAC 5,WAC 5,and,2,2,3,High,Virgin,3,64,1,,,0,0,9.4,0
WAC 5,WAC 5,and,2,2,3,High,Virgin,1,78,1,,,0,0,8.61,0
WAC 5,WAC 5,and,2,2,3,High,Sterile,3,283,4,,,0,0,51.85,0
WAC 5,WAC 5,and,2,2,3,High,Sterile,4,289,4,,,0,0,11.56,0
WAC 5,WAC 5,and,2,2,3,High,Sterile,2,305,4,,,0,0,18.26,0
WAC 5,WAC 5,and,2,2,3,High,Hancock,3,353,5,,,0,0,4.41,0
WAC 663,WAC 663,and,2,2,3,Low,Sterile,1,9,1,,8.83,8.83,8.83,0.62,4.071759338
WAC 663,WAC 663,and,2,2,3,Low,Sterile,4,99,2,,25.13,25.13,25.13,1.2,11.58814407
WAC 663,WAC 663,and,2,2,3,Low,Virgin,3,176,3,Yellow,21.52,21.52,21.52,1.5,9.923472363
WAC 663,WAC 663,and,2,2,3,High,Hancock,4,194,3,,7.26,7.26,7.26,11.8,3.347788539
WAC 663,WAC 663,and,2,2,3,Low,Virgin,1,295,4,,21.09,21.09,21.09,2.1,9.725187366
WAC 663,WAC 663,and,2,2,3,Low,Hancock,3,231,3,,36.15,36.15,36.15,1.8,9.41
WAC 663,WAC 663,and,2,2,3,Low,Virgin,2,260,3,,48.04,48.04,48.04,1.96,13.08
WAC 663,WAC 663,and,2,2,3,Low,Hancock,1,357,5,,26.47,26.47,26.47,1.12,9.78
WAC 663,WAC 663,and,2,2,3,Low,Virgin,4,178,3,,10.44,10.44,10.44,0.34,7.13
WAC 663,WAC 663,and,2,2,3,Low,Sterile,2,70,1,Yellow,15.07,15.07,15.07,1.12,10.86
WAC 663,WAC 663,and,2,2,3,Low,Sterile,3,374,5,,,0,1.62,0.67,0.747027195
WAC 663,WAC 663,and,2,2,3,High,Virgin,4,13,1,,,0,0,6.37,0
WAC 663,WAC 663,and,2,2,3,High,Sterile,4,83,1,,,0,0,9.4,0
WAC 663,WAC 663,and,2,2,3,High,Virgin,1,93,1,,,0,0,5.22,0
WAC 663,WAC 663,and,2,2,3,High,Hancock,1,169,3,,,0,0,10.97,0
WAC 663,WAC 663,and,2,2,3,High,Sterile,2,240,3,,,0,0,14.87,0
WAC 663,WAC 663,and,2,2,3,High,Hancock,3,400,5,,,0,0,5.71,0
Wac 735,Wac 735,and,2,2,3,Low,Hancock,4,25,1,,6.61,6.61,6.61,2.88,2.019983187
