Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tubermass ,shoot,root,root:shoot,root:shoot_2,total_biomass
WAC 663,WAC 663,and,2,2,3,Low,Sterile,4,99,2,,25.13,5.16,1.2,0.23255814,0.039617035,31.49
Wac 735,Wac 735,and,2,2,3,High,Hancock,3,104,2,,0,26.5,19.85,0.749056604,0.749056604,46.35
Huagalina,Huagalina,and,2,2,3,Low,Hancock,2,109,2,,41.43,6.99,5.73,0.819742489,0.118339529,54.15
EBS 1797,EBS 1797,and,2,2,3,High,Sterile,4,117,2,,0,32.36,8.06,0.24907293,0.24907293,40.42
Wac 735,Wac 735,and,2,2,3,High,Hancock,1,121,2,,0,34.44,25.52,0.740998839,0.740998839,59.96
Huagalina,Huagalina,and,2,2,3,High,Virgin,2,134,2,,0,42.1,9.37,0.222565321,0.222565321,51.47
Huagalina,Huagalina,and,2,2,3,Low,Virgin,4,135,2,,0.93,7.65,11.09,1.449673203,1.292540793,19.67
Wac 735,Wac 735,and,2,2,3,Low,Sterile,1,148,2,,30.88,4.31,4.95,1.148491879,0.140664962,40.14
Wac 735,Wac 735,and,2,2,3,High,Virgin,1,155,2,,0,31.69,15.56,0.491006627,0.491006627,47.25
Huagalina,Huagalina,and,2,2,3,Low,Virgin,1,156,2,,17.11,5.33,9.56,1.793621013,0.426024955,32
WAC 5,WAC 5,and,2,2,3,Low,Sterile,4,161,2,,22.55,3.44,1.25,0.363372093,0.048095421,27.24
Huagalina,Huagalina,and,2,2,3,Low,Virgin,3,166,2,,38.39,8,10.27,1.28375,0.221383919,56.66
WAC 663,WAC 663,and,2,2,3,High,Hancock,1,169,3,,0,42.8,10.97,0.256308411,0.256308411,53.77
Wac 735,Wac 735,and,2,2,3,High,Virgin,2,171,3,,0,33.87,13.25,0.391201653,0.391201653,47.12
Wac 735,Wac 735,and,2,2,3,Low,Virgin,2,172,3,,47.92,4.28,3.42,0.799065421,0.065517241,55.62
Huagalina,Huagalina,and,2,2,3,Low,Sterile,2,174,3,,0,5.4,12.68,2.348148148,2.348148148,18.08
WAC 663,WAC 663,and,2,2,3,Low,Virgin,3,176,3,Yellow,21.52,3.32,1.5,0.451807229,0.060386473,26.34
WAC 663,WAC 663,and,2,2,3,Low,Virgin,4,178,3,,10.44,2.97,0.34,0.114478114,0.025354213,13.75
Wac 735,Wac 735,and,2,2,3,High,Sterile,4,180,3,,0,26.24,22.72,0.865853659,0.865853659,48.96
Huagalina,Huagalina,and,2,2,3,High,Sterile,1,181,3,,0,29.85,17.68,0.592294807,0.592294807,47.53
EBS 1797,EBS 1797,and,2,2,3,High,Virgin,1,189,3,,17.48,39.98,13.95,0.348924462,0.242777584,71.41
EBS 1797,EBS 1797,and,2,2,3,High,Sterile,1,193,3,,1.21,26.09,9.14,0.350325795,0.334798535,36.44
WAC 663,WAC 663,and,2,2,3,High,Hancock,4,194,3,,7.26,30.66,11.8,0.384866275,0.311181435,49.72
EBS 1797,EBS 1797,and,2,2,3,Low,Hancock,3,206,3,,42.81,3.88,3.95,1.018041237,0.084600557,50.64
WAC 5,WAC 5,and,2,2,3,Low,Sterile,2,210,3,,23.05,2.53,9.11,3.600790514,0.356137608,34.69
WAC 5,WAC 5,and,2,2,3,Low,Virgin,4,215,3,,60.42,4.45,7.4,1.662921348,0.114074302,72.27
EBS 1797,EBS 1797,and,2,2,3,Low,Virgin,1,218,3,,25.91,2.56,4.1,1.6015625,0.14401124,32.57
Huagalina,Huagalina,and,2,2,3,High,Hancock,1,222,3,,0,37.84,12.82,0.338794926,0.338794926,50.66
EBS 1797,EBS 1797,and,2,2,3,Low,Sterile,4,227,3,Flowering,38.33,4.07,9.75,2.395577396,0.22995283,52.15
WAC 663,WAC 663,and,2,2,3,Low,Hancock,3,231,3,,36.15,5.41,1.8,0.33271719,0.043310876,43.36
EBS 1797,EBS 1797,and,2,2,3,High,Hancock,2,232,3,,40.21,30.05,23.52,0.782695507,0.334756618,93.78
WAC 5,WAC 5,and,2,2,3,Low,Sterile,1,238,3,,0,,,#DIV/0!,#DIV/0!,0
WAC 663,WAC 663,and,2,2,3,High,Sterile,2,240,3,,0,36.8,14.87,0.404076087,0.404076087,51.67
