Variety,variety2,Clade,agerank,agerank2,agerank3,agerank4,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root
EBS 1797,EBS 1797,and,2,2,3,4,High,Virgin,4,306,4,,1.77,1.77,1.77,18.85
EBS 1797,EBS 1797,and,2,2,3,4,High,Hancock,4,335,4,,46.52,46.52,46.52,6.69
EBS 1797,EBS 1797,and,2,2,3,4,Low,Sterile,2,337,5,,38.3,38.3,38.3,2.89
EBS 1797,EBS 1797,and,2,2,3,4,Low,Hancock,2,361,5,,31.78,31.78,31.78,2.35
EBS 1797,EBS 1797,and,2,2,3,4,Low,Hancock,4,391,5,,35.87,35.87,35.87,2.72
Huagalina,Huagalina,and,2,2,3,4,High,Virgin,1,19,1,,,0,0,13.11
Huagalina,Huagalina,and,2,2,3,4,Low,Hancock,1,65,1,,35.4,35.4,35.4,4.78
Huagalina,Huagalina,and,2,2,3,4,Low,Virgin,2,77,1,,,0,0,6.5
Huagalina,Huagalina,and,2,2,3,4,Low,Hancock,2,109,2,,41.43,41.43,41.43,5.73
Huagalina,Huagalina,and,2,2,3,4,High,Virgin,2,134,2,,,0,0,9.37
Huagalina,Huagalina,and,2,2,3,4,Low,Virgin,4,135,2,,0.93,0.93,0.93,11.09
Huagalina,Huagalina,and,2,2,3,4,Low,Virgin,1,156,2,,17.11,17.11,17.11,9.56
Huagalina,Huagalina,and,2,2,3,4,Low,Virgin,3,166,2,,38.39,38.39,38.39,10.27
Huagalina,Huagalina,and,2,2,3,4,Low,Sterile,2,174,3,,,0,0,12.68
Huagalina,Huagalina,and,2,2,3,4,High,Sterile,1,181,3,,,0,0,17.68
Huagalina,Huagalina,and,2,2,3,4,High,Hancock,1,222,3,,,0,0,12.82
Huagalina,Huagalina,and,2,2,3,4,Low,Hancock,4,257,3,,44.87,44.87,44.87,17.79
Huagalina,Huagalina,and,2,2,3,4,High,Virgin,4,268,4,,4.12,4.12,4.12,18.33
Huagalina,Huagalina,and,2,2,3,4,High,Hancock,2,273,4,,,0,0,15.53
Huagalina,Huagalina,and,2,2,3,4,High,Hancock,4,307,4,,,0,0,60.26
Huagalina,Huagalina,and,2,2,3,4,Low,Sterile,4,338,5,,31.48,31.48,31.48,8.26
Huagalina,Huagalina,and,2,2,3,4,High,Sterile,4,355,5,,,0,0,9.76
