,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16S2RangerLow,0.761863948,0.953048905,0.861250559,0.765766876,0.84270721,0.881028073,0.855438271,0.825323403,0.849394858,0.855111977,0.960716925,0.893036127,0.923273613,0.947307793,0.836241277,0.921947447,0.897723228,0.880910812,0.756904045,0.946799541,0,0.879005423,0.730005206,0.897766458,0.925359159,0.78562249,0.892174174,0.941403988,0.920269021,0.917857107,0.949795599,0.959670908,1,0.941805628,0.958958623,0.894459089,0.996744792,0.948536246,0.95947517,0.950866837,0.931735718,0.930847419,0.963815052,0.992621528,0.908796023,0.961558859,0.879371569,0.948357297,0.891988275,0.856245346,0.953272951,0.928880533,0.870890299,0.942199123,0.953186765,0.967494508,0.908650117,0.916823932,0.914480378
16S2SnowdenHigh,0.920936261,0.747164435,0.669208977,0.788374487,0.651402851,0.743607361,0.645490424,0.795753034,0.683154808,0.806396949,0.876779001,0.753198236,0.698345671,0.67729161,0.848550015,0.642605434,0.790248729,0.722485956,0.844351996,0.71542696,0.879005423,0,0.87534948,0.852086024,0.660859448,0.697006593,0.67014048,0.797068191,0.789730188,0.744780612,0.836069912,0.833460737,0.946564885,0.796068911,0.780935326,0.809708723,0.878792965,0.862496083,0.874094541,0.762210882,0.752586006,0.830045451,0.86239113,0.855787971,0.862824096,0.802786155,0.857568707,0.792177455,0.824910668,0.85306986,0.865945946,0.836088311,0.826953361,0.841652789,0.848883819,0.778871905,0.848246804,0.758450265,0.789496241
16S2SnowdenLow,0.852270226,0.901345168,0.853528067,0.759565843,0.811462869,0.841905647,0.880501058,0.729248143,0.861578418,0.870639064,0.894849588,0.924924472,0.823128189,0.910329131,0.86522144,0.867293311,0.893115859,0.64029946,0.765536494,0.96355499,0.730005206,0.87534948,0,0.902128689,0.858597556,0.736712391,0.867244197,0.84951424,0.883470954,0.86757751,0.907483547,0.960499481,0.972014925,0.890941308,0.929628078,0.887165545,0.95347506,0.928684528,0.960905985,0.852479812,0.883792773,0.894321628,0.921121443,0.969169397,0.909529113,0.895047948,0.894523766,0.877176298,0.894060566,0.852748164,0.93872185,0.91879447,0.812636469,0.921031054,0.947412893,0.933886663,0.893821956,0.921326073,0.869531816
16S2WAC_5Low,0.556481331,0.820966437,0.798181116,0.857386894,0.837836399,0.767184412,0.73905073,0.761972968,0.816399939,0.932398819,0.855969272,0.670144011,0.820378186,0.806814235,0.752330188,0.784407806,0.683782656,0.827184954,0.661354104,0.936115583,0.897766458,0.852086024,0.902128689,0,0.924104006,0.759756445,0.76242651,0.710317901,0.782012241,0.811296475,0.806380886,0.77906609,0.946564885,0.716416747,0.806019367,0.796167869,0.855812033,0.821306687,0.848059455,0.86603666,0.795687966,0.770676206,0.848059455,0.84956085,0.809093278,0.783664954,0.807367847,0.855295094,0.778116876,0.813143789,0.903636485,0.85737833,0.826823043,0.774566474,0.782076257,0.808088945,0.78344292,0.778260433,0.815527711
16S2WAC_663High,0.95682266,0.765734079,0.797727148,0.869096152,0.68181348,0.787022034,0.78103411,0.920138735,0.699760832,0.761068166,0.932536894,0.870515065,0.709035308,0.737860657,0.876366475,0.795837971,0.886858749,0.779487556,0.915074695,0.853569063,0.925359159,0.660859448,0.858597556,0.924104006,0,0.766109052,0.730925282,0.850678503,0.807928137,0.851704109,0.883596533,0.893833783,0.946591708,0.838138506,0.741391427,0.85986716,0.77582572,0.919887561,0.946591708,0.792066972,0.886000559,0.793663932,0.946591708,0.887789488,0.893646536,0.890436533,0.874780507,0.806188324,0.865922784,0.899480483,0.927567568,0.845835903,0.879696305,0.931834153,0.895806166,0.836910028,0.922569945,0.820461941,0.867845399
16S2WAC_663Low,0.774872754,0.821412001,0.728627853,0.584541843,0.675222782,0.664774834,0.744239813,0.621851717,0.748446275,0.762159901,0.881734262,0.706808961,0.699130467,0.738826247,0.748221488,0.770188382,0.693906997,0.69718566,0.588470253,0.879655831,0.78562249,0.697006593,0.736712391,0.759756445,0.766109052,0,0.692419765,0.747741111,0.783267142,0.754272815,0.824004265,0.838359109,0.946564885,0.718205021,0.745974344,0.75336968,0.833598818,0.835801618,0.85950156,0.810908122,0.757865449,0.791712493,0.806062697,0.896480844,0.836750441,0.794471634,0.78375951,0.83107154,0.811390274,0.748907348,0.853925706,0.839572099,0.748181335,0.815711831,0.8841557,0.813974909,0.793186271,0.785812713,0.762861246
16S2Wac_735High,0.916879711,0.61069825,0.595659924,0.804189567,0.601472284,0.774528537,0.569461241,0.810323319,0.654851586,0.715979154,0.784085341,0.728527408,0.699450516,0.637428537,0.785932824,0.641255304,0.778795838,0.728806666,0.825932436,0.863904428,0.892174174,0.67014048,0.867244197,0.76242651,0.730925282,0.692419765,0,0.772191474,0.70537063,0.763714003,0.720899492,0.735049921,0.942517792,0.764515881,0.605015421,0.721518649,0.82628148,0.764368944,0.78826948,0.837157962,0.65798386,0.723686809,0.790276492,0.759972344,0.777559603,0.736747382,0.832119267,0.756047803,0.72575772,0.803267582,0.882015976,0.753765257,0.719940575,0.777701668,0.772192413,0.714748051,0.743457989,0.69150493,0.714478483
16S2Wac_735Low,0.771238709,0.865583456,0.803839962,0.849855104,0.806372453,0.804500745,0.819413373,0.822209636,0.805938811,0.862805956,0.922451994,0.834768712,0.787985491,0.79394387,0.7970599,0.840196577,0.56921026,0.774290495,0.644735709,0.91211226,0.941403988,0.797068191,0.84951424,0.710317901,0.850678503,0.747741111,0.772191474,0,0.843682379,0.836103741,0.866565226,0.845205488,0.946564885,0.689019512,0.836800774,0.81887862,0.914327917,0.896356104,0.893648449,0.863387504,0.798011043,0.830958633,0.874446086,0.905768325,0.882702719,0.845105834,0.738588503,0.872101038,0.865948403,0.835178604,0.890683061,0.881426098,0.832700825,0.875923191,0.897336009,0.829747412,0.855076024,0.819812882,0.765284921
16SBurbankHigh,0.934980149,0.769713865,0.773716937,0.868468784,0.725352683,0.794425138,0.649538182,0.869834678,0.709010354,0.914585038,0.89391445,0.731755506,0.76944393,0.736035139,0.783347405,0.633134497,0.848662322,0.809348605,0.889016536,0.911242543,0.920269021,0.789730188,0.883470954,0.782012241,0.807928137,0.783267142,0.70537063,0.843682379,0,0.791091344,0.600950379,0.620771932,0.940406312,0.745926991,0.601553036,0.622713738,0.645426346,0.601052347,0.667467968,0.743394044,0.604469436,0.68858501,0.654779356,0.654096903,0.56919565,0.556429623,0.870886879,0.758723313,0.588669145,0.743215069,0.859760186,0.628325799,0.687104188,0.623296277,0.59395357,0.588487121,0.612111915,0.537933518,0.610463139
16SBurbankLow,0.928058842,0.854363853,0.796527439,0.875572741,0.825140761,0.727103841,0.756806182,0.792662205,0.806448465,0.929219911,0.910337727,0.756189498,0.769915147,0.674629574,0.804331678,0.792068268,0.814962572,0.802824353,0.812892167,0.757858491,0.917857107,0.744780612,0.86757751,0.811296475,0.851704109,0.754272815,0.763714003,0.836103741,0.791091344,0,0.821088124,0.826883723,0.946564885,0.77357729,0.796585725,0.804026519,0.844688447,0.785145724,0.815471345,0.659388816,0.721628129,0.770964977,0.813585307,0.863819755,0.769667225,0.762939688,0.845831464,0.799030704,0.765954751,0.736625159,0.802356342,0.805015704,0.786467309,0.754833944,0.812594425,0.771229182,0.772160104,0.733856733,0.773650795
16SCor_C_135High,0.979961876,0.736584606,0.78639995,0.919105106,0.858322638,0.871853174,0.679005243,0.907936716,0.80968722,0.901416643,0.912121212,0.741410663,0.756221226,0.716324615,0.820906339,0.682995492,0.848098565,0.834061757,0.886602999,0.965023242,0.949795599,0.836069912,0.907483547,0.806380886,0.883596533,0.824004265,0.720899492,0.866565226,0.600950379,0.821088124,0,0.522010877,0.920341991,0.80988733,0.549478502,0.540884085,0.584254722,0.517847104,0.597106019,0.885105504,0.561732502,0.759625135,0.56205628,0.550004283,0.524805387,0.513731635,0.881713098,0.853514413,0.547024333,0.827187771,0.910679155,0.736603911,0.778122058,0.531123653,0.598517092,0.496206074,0.516518046,0.632518182,0.521395961
16SCor_C_135Low,0.972190694,0.783402879,0.803470653,0.943910953,0.891188939,0.843962396,0.706839348,0.910657448,0.849944183,0.923650682,0.848161257,0.687445779,0.824219707,0.794357772,0.83618068,0.70843997,0.838805611,0.864224029,0.921624303,0.922177522,0.959670908,0.833460737,0.960499481,0.77906609,0.893833783,0.838359109,0.735049921,0.845205488,0.620771932,0.826883723,0.522010877,0,0.946564885,0.811232379,0.567377647,0.434662778,0.457840264,0.432799251,0.555702529,0.879303031,0.567969627,0.709056887,0.396975191,0.469304373,0.443718855,0.493319804,0.89736992,0.863967095,0.532678186,0.806936911,0.877320208,0.725335018,0.767391504,0.462649921,0.591979469,0.501192623,0.436946185,0.584404792,0.449226207
16SCor_C_56High,0.99758162,0.946564885,0.946564885,0.974707432,0.941633624,0.946564885,0.930646388,0.962580645,0.946564885,0.946564885,0.946564885,0.946564885,0.946564885,0.897995935,0.946564885,0.946564885,0.946564885,0.946564885,1,1,1,0.946564885,0.972014925,0.946564885,0.946591708,0.946564885,0.942517792,0.946564885,0.940406312,0.946564885,0.920341991,0.946564885,0,0.937376524,0.946564885,0.946564885,0.946564885,0.946564885,0.946564885,0.956521739,0.946564885,0.946564885,0.946564885,0.946564885,0.946564885,0.943252165,0.985089463,0.946564885,0.943030181,0.946564885,0.955675676,0.946564885,0.946564885,0.946564885,0.946564885,0.927517266,0.946564885,0.946564885,0.938388779
