Variety,variety2,Clade,agerank,Nutrient,soil,rep,id,Notes:,tuber,tuber2,shoot,root,,,reltub
Wac 735,Wac 735,and,2,Low,Hancock,3,332,,72.66,72.66,4.18,5.48,2.492624357,,2.492624357
Wac 735,Wac 735,and,2,Low,Hancock,1,349,,,0,7.58,1.85,0,,0
Wac 735,Wac 735,and,2,Low,Hancock,2,352,,,0,4.56,1.73,0,,0
Wac 735,Wac 735,and,2,Low,Sterile,4,98,,18.45,18.45,2.87,4.46,0.632933105,29.15,0.632933105
Wac 735,Wac 735,and,2,Low,Sterile,3,48,,25.43,25.43,4.64,5.68,0.87238422,,0.87238422
Wac 735,Wac 735,and,2,Low,Sterile,1,148,,30.88,30.88,4.31,4.95,1.059348199,,1.059348199
Wac 735,Wac 735,and,2,Low,Sterile,2,262,,41.84,41.84,,6.21,1.435334477,,1.435334477
Wac 735,Wac 735,and,2,Low,Virgin,1,3,,2.71,2.71,4.95,0.48,0.09296741,,0.09296741
Wac 735,Wac 735,and,2,Low,Virgin,3,67,,11,11,3.75,1.7,0.377358491,,0.377358491
Wac 735,Wac 735,and,2,Low,Virgin,4,312,,47.45,47.45,4.1,8.83,1.627787307,,1.627787307
Wac 735,Wac 735,and,2,Low,Virgin,2,172,,47.92,47.92,4.28,3.42,1.643910806,,1.643910806
HAO 58-15,HAO 58,bert,1,High,Hancock,3,375,,1.62,1.62,16.1,7.84,0.088686131,,0.088686131
HAO 58-5,HAO 58,bert,1,High,Sterile,1,4,,,0,23.96,9.9,0,18.26666667,0
HAO 58-6,HAO 58,bert,1,High,Sterile,2,320,,54.8,54.8,31.04,20.22,3,,3
HAO 58-7,HAO 58,bert,1,High,Sterile,3,326,gone?,,,,,0,,0
HAO 58-8,HAO 58,bert,1,High,Sterile,4,392,,,0,27.5,24.96,0,,0
HAO 58-21,HAO 58,bert,1,High,Virgin,1,256,,,0,31.15,32.48,0,,0
HAO 58-22,HAO 58,bert,1,High,Virgin,2,119,,,0,18.41,8.6,0,,0
HAO 58-23,HAO 58,bert,1,High,Virgin,3,85,,,0,30.5,24.07,0,,0
HAO 58-24,HAO 58,bert,1,High,Virgin,4,388,,,0,22.74,19.43,0,,0
HAO 58-10,HAO 58,bert,1,Low,Hancock,2,284,,,0,6.78,25.48,0,,0
HAO 58-9,HAO 58,bert,1,Low,Hancock,1,18,,,0,10.37,9.95,0,,0
